intra_cluster_aggregation,nb_beams,eval_avg_p,eval_avg_r,eval_avg_f,conll_md_p,conll_md_r,conll_md_f,conll_muc_p,conll_muc_r,conll_muc_f,conll_bcub_p,conll_bcub_r,conll_bcub_f,conll_ceafe_p,conll_ceafe_r,conll_ceafe_f,conll_avg_f
avg,1,92.77,77.59,84.42,100.0,86.65,92.85,97.17,83.62,89.89,95.16,72.85,82.52,85.97,76.26,80.82,84.4100
avg,2,92.27,76.35,83.39,100.0,86.32,92.66,97.34,82.68,89.41,95.59,70.05,80.85,83.85,76.28,79.88,83.3800
avg,4,91.52,75.10,82.23,100.0,86.2,92.58,97.34,81.72,88.85,95.99,67.41,79.2,81.21,76.14,78.6,82.2167
avg,6,91.41,74.76,81.93,100.0,86.09,92.52,97.43,81.4,88.7,96.25,66.61,78.73,80.53,76.23,78.32,81.9167
avg,8,91.24,74.35,81.56,100.0,86.05,92.5,97.48,81.16,88.57,96.38,65.65,78.1,79.84,76.21,77.98,81.5500
avg,10,91.11,74.07,81.31,100.0,85.99,92.47,97.49,80.94,88.44,96.49,65.08,77.73,79.33,76.16,77.71,81.2933
avg,12,91.05,73.95,81.19,100.0,85.98,92.46,97.49,80.82,88.38,96.52,64.74,77.5,79.12,76.24,77.66,81.1800
avg,14,90.93,73.70,80.96,100.0,85.99,92.47,97.54,80.73,88.34,96.61,64.17,77.12,78.64,76.17,77.38,80.9467
avg,16,90.85,73.54,80.80,100.0,85.96,92.45,97.59,80.61,88.29,96.67,63.83,76.89,78.26,76.12,77.18,80.7867
avg,18,90.82,73.51,80.77,100.0,85.98,92.46,97.54,80.58,88.25,96.7,63.8,76.88,78.2,76.11,77.14,80.7567
avg,20,90.81,73.45,80.72,100.0,85.97,92.46,97.55,80.55,88.24,96.7,63.63,76.76,78.15,76.14,77.13,80.7100
avg,22,90.78,73.47,80.72,100.0,85.96,92.45,97.55,80.52,88.22,96.68,63.72,76.81,78.09,76.12,77.09,80.7067
avg,24,90.77,73.45,80.70,100.0,85.98,92.46,97.54,80.5,88.21,96.7,63.65,76.77,78.05,76.17,77.1,80.6933
avg,26,90.74,73.36,80.63,100.0,85.96,92.45,97.54,80.46,88.18,96.69,63.48,76.64,77.97,76.11,77.03,80.6167
avg,28,90.70,73.33,80.59,100.0,85.97,92.45,97.53,80.44,88.16,96.67,63.4,76.58,77.9,76.13,77.0,80.5800
avg,30,90.62,73.22,80.47,100.0,85.98,92.46,97.53,80.38,88.13,96.66,63.16,76.4,77.65,76.07,76.85,80.4600
